year,skill_group,n_papers,n_mentions,mean_skill_weight,n_papers_year,n_papers_with_skill_year,freq_norm_by_papers,share_of_skill_mentions
2004,transversal_skills,18,22,,44,19,0.5,0.88
2005,ct_core_skills,2,3,0.8666666666666667,44,13,0.06818181818181818,0.16666666666666666
2005,transversal_skills,13,15,,44,13,0.3409090909090909,0.8333333333333334
2006,ct_core_skills,5,8,0.8674999999999999,55,24,0.14545454545454545,0.1951219512195122
2006,transversal_skills,23,33,,55,24,0.6,0.8048780487804879
2007,ct_core_skills,7,8,0.8725,83,35,0.0963855421686747,0.17777777777777778
2007,transversal_skills,32,37,,83,35,0.4457831325301205,0.8222222222222222
2008,ct_core_skills,8,9,0.8844444444444445,79,27,0.11392405063291139,0.24324324324324326
2008,transversal_skills,22,28,,79,27,0.35443037974683544,0.7567567567567568
2009,ct_core_skills,12,20,0.876,129,47,0.15503875968992248,0.26666666666666666
2009,transversal_skills,42,55,,129,47,0.4263565891472868,0.7333333333333333
2010,ct_core_skills,7,8,0.8725,115,35,0.06956521739130435,0.18604651162790697
2010,transversal_skills,30,35,,115,35,0.30434782608695654,0.813953488372093
2011,ct_core_skills,17,26,0.8761538461538462,159,50,0.16352201257861634,0.3132530120481928
2011,transversal_skills,41,57,,159,50,0.3584905660377358,0.6867469879518072
2012,ct_core_skills,20,39,0.8774358974358974,157,59,0.2484076433121019,0.3170731707317073
2012,transversal_skills,52,84,,157,59,0.535031847133758,0.6829268292682927
2013,ct_core_skills,25,40,0.881,198,77,0.20202020202020202,0.3125
2013,transversal_skills,71,88,,198,77,0.4444444444444444,0.6875
2014,ct_core_skills,37,66,0.8784848484848484,224,97,0.29464285714285715,0.3402061855670103
2014,transversal_skills,83,128,,224,97,0.5714285714285714,0.6597938144329897
2015,ct_core_skills,56,104,0.8807692307692307,285,132,0.3649122807017544,0.37142857142857144
2015,transversal_skills,114,176,,285,132,0.6175438596491228,0.6285714285714286
2016,ct_core_skills,59,114,0.8810526315789473,302,152,0.37748344370860926,0.3619047619047619
2016,transversal_skills,134,201,,302,152,0.6655629139072847,0.638095238095238
2017,ct_core_skills,105,233,0.8801716738197426,467,247,0.4989293361884368,0.39829059829059826
2017,transversal_skills,228,352,,467,247,0.7537473233404711,0.6017094017094017
2018,ct_core_skills,111,236,0.8804237288135593,562,288,0.4199288256227758,0.36932707355242567
2018,transversal_skills,262,403,,562,288,0.7170818505338078,0.6306729264475743
2019,ct_core_skills,180,421,0.8791923990498812,723,402,0.5822959889349931,0.4095330739299611
2019,transversal_skills,372,607,,723,402,0.8395573997233748,0.5904669260700389
2020,ct_core_skills,206,485,0.8794226804123711,852,458,0.5692488262910798,0.41452991452991456
2020,transversal_skills,434,685,,852,458,0.8039906103286385,0.5854700854700855
2021,ct_core_skills,240,543,0.879963167587477,982,567,0.5529531568228105,0.38896848137535817
2021,transversal_skills,532,853,,982,567,0.8686354378818737,0.6110315186246418
2022,ct_core_skills,287,690,0.8796811594202899,1070,635,0.6448598130841121,0.4092526690391459
2022,transversal_skills,607,996,,1070,635,0.930841121495327,0.5907473309608541
2023,ct_core_skills,341,801,0.8794007490636704,1188,708,0.6742424242424242,0.4103483606557377
2023,transversal_skills,670,1151,,1188,708,0.9688552188552189,0.5896516393442623
2024,ct_core_skills,422,978,0.8796523517382413,1377,827,0.710239651416122,0.421551724137931
2024,transversal_skills,774,1342,,1377,827,0.9745824255628177,0.5784482758620689
2025,ct_core_skills,447,1063,0.8795672624647225,1365,884,0.7787545787545788,0.4118558698179
2025,transversal_skills,849,1518,,1365,884,1.1120879120879121,0.5881441301821
2026,ct_core_skills,17,41,0.877560975609756,64,41,0.640625,0.39805825242718446
2026,transversal_skills,40,62,,64,41,0.96875,0.6019417475728155
