ct_label,year,n_papers,n_unique_doi,mean_citations,median_citations,total_citations,mean_altmetric,total_altmetric,mean_mendeley_readers,total_mendeley_readers,share_oa,mean_ct_score
broad,2019,87,87,10.873563218390805,4.0,946.0,3.863218390804595,336.0999999999998,46.367816091954026,4034.0,0.4367816091954023,1.0
broad,2020,103,103,15.16504854368932,7.0,1562.0,1.228640776699029,126.55,66.81553398058253,6882.0,0.4174757281553398,1.0
broad,2021,132,132,11.386363636363637,3.0,1503.0,1.9651515151515149,259.4,52.21969696969697,6893.0,0.3787878787878788,1.0
broad,2022,145,145,9.46896551724138,4.0,1373.0,2.7044827586206894,392.15,45.87586206896552,6652.0,0.45517241379310347,1.0
broad,2023,141,141,9.666666666666666,2.0,1363.0,1.1482269503546099,161.9,44.42553191489362,6264.0,0.41134751773049644,1.0
broad,2024,192,192,5.984375,2.0,1149.0,2.2763020833333334,437.05,34.473958333333336,6619.0,0.421875,1.0
broad,2025,209,209,0.8660287081339713,0.0,181.0,0.8212918660287082,171.65,11.851674641148325,2477.0,0.42105263157894735,1.0
broad,2026,7,7,0.42857142857142855,0.0,3.0,0.42857142857142855,3.0,14.857142857142858,104.0,0.7142857142857143,1.0
core,1980,1,1,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0
core,1989,2,2,11.5,11.5,23.0,0.0,0.0,17.0,34.0,0.0,2.0
core,2000,1,1,2.0,2.0,2.0,0.0,0.0,16.0,16.0,0.0,2.0
core,2002,1,1,102.0,102.0,102.0,3.0,3.0,76.0,76.0,1.0,2.0
core,2003,1,1,7.0,7.0,7.0,0.0,0.0,18.0,18.0,0.0,2.0
core,2004,3,3,5.333333333333333,1.0,16.0,0.0,0.0,12.666666666666666,38.0,0.0,2.0
core,2006,2,2,10.5,10.5,21.0,0.0,0.0,63.0,126.0,0.0,2.0
core,2007,6,6,42.5,32.5,255.0,0.5,3.0,58.5,351.0,0.16666666666666666,2.3333333333333335
core,2008,12,12,148.83333333333334,11.5,1786.0,5.1125,61.35,276.5,3318.0,0.16666666666666666,2.25
core,2009,30,30,41.6,15.0,1248.0,0.6166666666666667,18.5,81.9,2457.0,0.06666666666666667,2.433333333333333
core,2010,36,36,25.27777777777778,7.5,910.0,0.7083333333333334,25.5,77.66666666666667,2796.0,0.1111111111111111,2.361111111111111
core,2011,49,49,62.16326530612245,9.0,3046.0,4.636734693877551,227.2,117.18367346938776,5742.0,0.061224489795918366,2.489795918367347
core,2012,42,42,31.166666666666668,10.0,1309.0,2.8285714285714283,118.8,84.47619047619048,3548.0,0.11904761904761904,2.4761904761904763
